cntry,pplfair,pplhlp,ppltrst,implvdm,trstlgl,trstplc,trstplt,trstprl,trstprt,trstsci
FI,9,8,8,10,9,9,8,9,7,9
FI,7,6,7,8,7,8,5,5,5,5
FI,5,6,7,10,9,8,5,7,7,7
FI,8,4,6,10,4,5,3,5,3,5
FI,7,5,7,0,8,8,6,7,6,9
FI,8,9,5,10,10,10,8,10,8,9
FI,5,5,4,7,5,5,4,2,2,3
FI,4,5,7,10,9,10,6,6,6,9
FI,7,6,7,9,8,8,7,6,6,8
FI,6,7,5,7,9,9,7,5,7,7
FI,10,7,4,10,9,10,8,9,8,9
FI,2,2,2,9,7,8,8,6,7,8
FI,8,8,7,10,8,9,7,7,7,8
FI,9,8,9,10,9,9,6,8,6,9
FI,8,5,4,10,8,8,7,9,8,10
FI,7,5,5,10,5,7,3,7,3,7
FI,9,8,9,9,10,10,8,9,8,8
FI,6,7,8,10,5,6,5,5,5,7
FI,6,5,6,8,7,7,2,3,3,6
FI,7,5,6,10,2,0,2,5,2,8
FI,5,4,7,8,7,5,1,4,1,6
FI,9,10,9,10,9,9,8,8,8,9
FI,9,8,9,10,9,9,7,9,7,8
FI,2,6,8,10,9,10,1,4,1,8
FI,8,6,7,10,9,9,7,8,7,9
FI,6,8,7,10,8,9,7,8,7,9
FI,7,4,7,9,8,8,7,7,7,9
FI,9,8,9,10,8,10,7,8,6,10
FI,8,5,3,10,7,7,2,3,2,5
FI,6,4,5,10,8,8,6,10,6,10
FI,8,7,8,9,9,10,7,8,7,7
FI,7,7,7,10,8,7,7,8,7,8
FI,8,7,8,10,9,9,6,8,6,9
FI,8,6,8,10,9,9,5,7,6,9
FI,6,4,7,10,8,9,7,8,7,8
FI,8,8,9,10,10,10,9,10,9,10
FI,9,5,9,5,8,9,2,3,2,7
FI,8,5,7,10,4,7,5,5,5,9
FI,7,7,7,10,8,9,5,7,4,8
FI,8,7,6,10,8,8,5,6,5,7
FI,5,7,8,10,9,9,8,10,8,7
FI,8,7,8,10,9,10,7,8,7,9
FI,8,7,7,9,8,9,8,7,6,8
FI,8,3,8,10,7,9,4,7,3,8
FI,6,8,8,10,9,9,6,6,6,9
FI,7,7,6,10,4,6,4,7,5,8
FI,4,3,4,10,4,3,3,4,3,5
FI,8,8,7,9,7,9,7,8,7,7
FI,5,2,5,10,10,10,3,4,3,8
FI,10,9,10,10,9,8,7,8,8,10
FI,6,4,8,10,8,9,5,6,7,9
FI,8,9,4,9,8,9,4,3,4,7
FI,7,6,7,10,9,10,4,7,4,9
FI,8,6,8,10,8,9,6,7,5,6
FI,4,8,7,9,4,9,4,7,5,5
FI,5,7,9,10,8,10,5,8,5,6
FI,8,7,8,10,9,3,4,7,6,7
FI,7,4,7,10,9,9,3,7,7,10
FI,6,5,7,10,8,9,5,6,5,9
FI,2,6,7,8,8,9,7,7,5,8
FI,9,9,8,9,8,8,6,7,7,9
FI,8,7,8,10,9,10,6,8,5,8
FI,7,7,8,10,9,9,8,9,8,9
FI,4,5,7,10,9,6,2,7,3,5
FI,9,7,8,10,9,9,8,10,8,9
FI,8,6,7,10,5,8,6,5,5,6
FI,8,6,9,10,10,10,5,8,5,10
FI,9,8,9,10,8,9,6,7,6,8
FI,9,7,8,10,5,8,4,5,5,9
FI,7,9,8,10,9,9,8,9,8,9
FI,8,8,8,10,10,8,6,7,6,9
FI,10,7,10,10,9,9,6,8,6,6
FI,4,7,7,10,9,10,6,9,5,9
FI,9,7,9,10,10,10,5,10,4,9
FI,8,9,10,10,9,9,9,9,9,10
FI,2,6,2,10,2,4,3,3,3,4
FI,9,8,9,10,9,9,7,10,8,8
FI,7,7,5,8,5,7,5,5,5,6
FI,3,1,7,10,4,10,1,3,1,10
FI,9,8,8,10,7,9,7,7,7,8
FI,8,8,8,10,9,9,7,7,7,6
FI,10,8,9,10,7,10,3,8,7,9
FI,7,6,7,10,7,9,5,4,3,6
FI,9,9,9,10,9,9,7,10,7,9
FI,7,6,7,10,8,9,7,9,7,8
FI,7,8,8,9,8,8,6,6,5,9
FI,5,5,5,9,8,9,3,6,5,8
FI,10,9,9,10,8,9,7,5,8,10
FI,7,7,8,9,9,9,8,9,7,9
FI,8,7,7,10,9,9,7,8,8,9
FI,5,3,2,10,2,6,3,4,4,8
FI,7,8,6,8,7,7,2,2,1,5
FI,7,4,7,10,8,8,6,8,7,9
FI,9,8,9,10,9,10,9,10,8,10
FI,7,6,10,10,5,8,7,8,7,8
FI,2,3,2,9,7,7,6,6,6,7
FI,7,7,7,8,9,6,4,8,2,10
FI,9,4,8,10,5,8,6,6,4,7
FI,9,8,8,10,9,10,9,9,8,9
FI,10,9,8,10,7,10,7,6,7,6
FI,5,3,2,9,6,7,3,8,3,5
FI,5,5,8,10,8,10,8,8,6,9
FI,8,8,8,10,8,9,8,7,8,9
FI,9,7,7,10,9,8,9,9,8,9
FI,5,6,7,6,6,8,4,5,6,9
FI,7,7,6,9,8,8,5,7,5,5
FI,2,8,3,7,5,4,6,6,6,4
FI,9,8,8,9,8,8,6,8,5,8
FI,8,7,8,9,7,7,6,7,6,7
FI,8,9,8,10,8,9,8,8,8,9
FI,5,7,7,10,8,6,7,8,6,8
FI,6,6,4,10,9,10,6,7,4,8
FI,8,9,9,9,9,9,7,7,7,8
FI,9,10,9,10,7,9,5,7,5,9
FI,9,8,8,10,9,8,7,7,6,10
FI,7,8,8,8,7,8,6,7,8,8
FI,4,5,7,10,9,9,7,8,8,10
FI,6,5,7,10,8,7,5,7,5,9
FI,5,6,5,10,0,2,1,1,0,2
FI,3,3,3,6,9,9,3,5,3,9
FI,8,6,7,8,5,7,4,9,4,8
FI,8,6,7,10,7,7,5,7,4,5
FI,3,7,5,9,8,8,7,6,7,8
FI,9,9,8,10,10,9,8,9,8,10
FI,5,2,8,7,8,8,6,6,6,8
FI,6,6,7,9,8,8,7,7,7,8
FI,7,7,8,10,9,10,7,9,7,8
FI,8,8,5,10,7,7,3,3,3,7
FI,8,4,8,10,5,9,4,5,4,7
FI,3,4,5,10,5,7,4,6,4,5
FI,0,5,1,10,5,9,0,5,0,10
FI,4,5,8,10,8,9,8,8,7,7
FI,5,4,5,10,7,8,5,6,5,5
FI,8,8,8,10,8,10,3,9,3,7
FI,9,6,8,10,7,9,5,7,6,9
FI,7,7,7,9,8,9,7,7,7,9
FI,6,3,7,9,7,9,5,4,5,7
FI,8,7,8,10,9,9,7,8,7,9
FI,8,3,8,10,9,9,3,8,2,8
FI,8,7,8,10,10,9,8,10,8,9
FI,2,5,7,9,8,8,7,7,7,9
FI,2,3,2,8,6,7,3,3,3,5
FI,9,5,7,10,9,9,4,7,4,8
FI,8,5,8,10,9,9,6,8,6,7
FI,8,8,8,8,9,10,2,3,3,8
FI,4,8,5,8,5,9,4,2,3,8
FI,8,8,7,10,5,7,5,5,2,8
FI,2,2,2,9,1,4,1,2,3,4
FI,2,6,0,10,6,7,3,3,6,8
FI,8,8,7,9,8,8,5,6,5,8
FI,4,5,3,10,8,8,6,7,7,10
FI,9,8,8,10,9,9,7,9,8,8
FI,8,6,7,9,9,8,6,8,7,6
FI,8,9,7,10,5,6,7,9,7,7
FI,8,6,6,10,9,10,8,8,8,8
FI,8,7,8,10,10,10,9,9,9,9
FI,8,5,7,9,7,9,6,7,5,8
FI,8,8,7,10,9,9,8,9,7,9
FI,9,5,9,10,4,6,0,0,1,2
FI,8,7,8,10,9,9,8,7,7,8
FI,6,3,2,10,5,6,0,3,0,5
FI,8,7,8,10,9,9,4,8,4,9
FI,6,5,7,10,7,8,7,7,7,9
FI,7,3,2,7,3,8,1,2,1,5
FI,10,10,10,10,9,10,7,7,4,9
FI,5,7,2,10,7,9,7,8,6,9
FI,6,4,7,9,7,9,7,9,8,8
FI,6,2,4,10,7,7,4,2,6,8
FI,8,8,9,10,10,10,5,7,7,8
FI,8,8,8,10,8,6,5,7,5,7
FI,8,5,8,10,9,8,6,8,5,6
FI,3,7,7,10,9,9,8,8,8,8
FI,8,7,8,10,9,9,7,9,6,9
FI,8,8,6,10,10,10,7,9,7,9
FI,7,4,6,10,6,9,4,5,3,8
FI,4,6,4,8,3,5,3,1,2,4
FI,9,8,8,10,8,9,7,8,8,9
FI,7,6,7,10,8,9,5,5,5,8
FI,6,3,4,5,6,8,4,7,7,8
FI,5,3,8,10,7,9,6,8,6,10
FI,8,7,8,10,8,9,8,10,8,10
