cntry,ppltrst,pplfair,pplhlp,trstprl,trstlgl,trstplc,trstplt,trstprt,trstsci,implvdm
BE,6,9,4,3,4,6,6,4,6,10
BE,5,7,3,0,5,8,0,0,8,10
BE,8,7,9,6,4,8,7,7,9,8
BE,7,7,3,7,5,7,5,5,8,10
BE,6,6,5,4,7,6,4,4,9,10
BE,2,3,1,7,9,9,3,3,9,10
BE,2,0,3,5,6,2,5,5,8,10
BE,7,9,6,4,7,10,5,3,9,10
BE,6,4,4,6,5,7,6,6,8,9
BE,7,8,7,6,7,8,7,7,9,9
BE,5,6,4,7,7,8,6,6,8,6
BE,5,5,5,2,2,2,2,2,2,7
BE,4,6,2,6,6,6,4,4,8,10
BE,6,4,6,6,6,7,5,6,6,10
BE,7,8,6,7,9,9,6,6,10,7
BE,7,7,7,6,6,7,6,5,8,9
BE,8,8,5,4,5,8,0,0,8,10
BE,5,3,1,2,0,0,1,1,4,6
BE,7,7,5,6,7,7,5,5,8,10
BE,6,8,2,6,7,9,7,6,9,10
BE,2,7,1,6,5,4,6,6,7,8
BE,6,3,4,2,7,7,0,0,8,8
BE,6,4,4,4,4,6,5,4,6,9
BE,6,7,7,7,7,7,7,6,6,10
BE,5,7,5,5,5,5,5,5,6,7
BE,7,7,5,6,5,7,4,3,4,7
BE,6,6,6,2,3,2,1,1,9,9
BE,8,7,7,6,7,7,5,5,9,8
BE,7,6,5,2,1,0,0,0,2,8
BE,5,4,5,1,2,2,0,1,1,5
BE,8,7,6,8,9,8,8,7,8,10
BE,6,8,4,6,6,7,6,6,8,9
BE,8,6,8,3,3,6,3,5,8,4
BE,3,7,7,3,5,7,2,2,7,5
BE,10,10,0,0,3,3,3,3,2,10
BE,5,5,7,8,8,10,6,5,9,10
BE,6,8,7,5,7,7,5,5,8,8
BE,7,9,7,6,4,5,5,5,6,10
BE,5,5,7,5,9,7,5,5,6,10
BE,5,2,0,4,10,5,3,2,0,6
BE,7,7,7,0,0,0,0,0,0,10
BE,8,8,9,8,7,8,8,7,9,9
BE,8,8,7,6,6,7,4,4,8,9
BE,2,2,4,1,0,4,1,1,5,10
BE,5,9,5,5,5,9,5,5,8,9
BE,5,5,0,0,0,5,0,0,5,0
BE,1,5,2,1,0,2,0,0,7,10
BE,4,7,6,6,5,7,4,5,7,5
BE,7,8,8,9,8,6,7,5,6,10
BE,6,6,7,5,6,6,4,4,7,7
BE,7,7,7,5,6,6,6,5,7,10
BE,8,7,4,6,7,7,7,6,8,9
BE,9,3,7,5,8,8,5,5,8,10
BE,3,5,1,7,9,6,5,5,4,10
BE,5,5,7,1,5,7,1,1,8,10
BE,7,6,7,4,6,8,7,7,8,8
BE,5,6,6,6,3,7,4,5,6,10
BE,7,7,6,6,6,7,7,7,8,9
BE,3,7,7,7,8,8,5,3,9,10
BE,0,6,6,4,0,0,0,0,8,3
BE,8,8,7,4,2,7,4,2,7,10
BE,3,4,4,5,5,8,5,5,7,10
BE,5,8,5,4,7,8,5,6,8,10
BE,6,7,4,6,9,8,5,4,7,10
BE,5,7,5,3,5,7,3,3,8,10
BE,3,5,4,4,8,8,3,3,8,0
BE,7,7,5,5,6,6,4,3,5,10
BE,3,8,4,0,0,4,0,0,2,8
BE,7,8,7,5,6,8,6,5,8,8
BE,6,7,3,7,7,7,6,6,8,10
BE,7,7,6,8,6,7,6,6,8,8
BE,4,6,7,7,5,8,6,4,7,7
BE,7,5,7,5,4,6,6,5,9,7
BE,4,7,4,5,3,7,4,4,8,10
BE,3,5,3,3,5,5,3,3,6,6
BE,4,4,2,9,9,8,6,6,10,10
BE,0,0,5,5,5,5,5,5,6,5
BE,7,6,2,9,9,6,6,5,7,9
BE,6,8,5,6,3,6,5,5,9,10
BE,1,2,1,1,2,3,0,0,1,7
BE,4,3,4,0,4,8,3,2,9,5
BE,7,9,0,0,0,0,0,0,6,8
BE,7,7,5,8,6,8,6,5,8,7
BE,7,7,8,9,9,10,7,6,10,10
BE,6,6,4,5,7,7,5,5,9,10
BE,5,5,1,0,8,8,0,0,10,9
BE,7,7,7,7,8,7,6,4,7,10
BE,6,6,8,5,7,8,5,5,9,9
BE,6,7,7,6,6,7,3,3,8,10
BE,3,5,5,5,5,5,5,5,6,10
BE,1,6,5,2,1,1,2,2,8,9
BE,8,5,5,0,8,8,0,0,8,10
BE,8,8,3,4,7,8,4,4,7,10
BE,6,6,4,6,6,8,6,6,8,7
BE,5,3,3,10,8,7,1,6,9,10
BE,9,8,8,5,5,5,2,2,7,9
