cntry,pplfair,pplhlp,ppltrst,implvdm,trstlgl,trstplc,trstplt,trstprl,trstprt,trstsci
CH,3,3,4,5,5,5,5,5,3,3
CH,5,3,3,9,7,8,4,7,4,4
CH,5,5,2,10,6,10,5,6,7,8
CH,9,7,8,9,7,9,7,8,7,8
CH,7,5,3,10,8,9,5,8,5,8
CH,5,7,5,10,8,8,4,8,4,7
CH,4,5,2,7,8,10,7,7,7,9
CH,8,6,5,10,7,10,4,4,4,8
CH,8,7,8,10,6,9,5,8,5,7
CH,7,6,7,10,7,7,6,8,6,7
CH,6,5,5,9,6,8,7,6,5,6
CH,6,5,5,9,8,7,7,7,7,4
CH,5,5,4,7,6,6,7,6,7,7
CH,5,5,2,9,1,7,1,6,4,1
CH,5,3,6,10,4,6,5,7,6,4
CH,7,5,3,8,9,8,8,8,9,7
CH,7,6,5,10,9,8,3,5,1,9
CH,7,6,6,10,9,9,7,7,4,9
CH,6,2,6,8,6,7,5,7,4,8
CH,5,6,5,8,6,8,6,6,6,8
CH,8,4,8,10,4,3,1,2,2,1
CH,8,7,8,10,9,9,8,9,8,9
CH,6,8,5,8,5,0,2,6,3,7
CH,3,5,8,10,2,2,2,1,1,0
CH,5,6,6,8,5,6,4,6,2,0
CH,8,4,6,10,4,7,5,8,5,8
CH,7,6,8,10,6,8,6,7,6,6
CH,6,5,9,10,9,9,7,8,7,9
CH,5,5,6,4,4,8,3,4,5,6
CH,5,5,5,10,7,5,3,7,4,5
CH,3,2,5,10,4,5,0,1,0,3
CH,7,7,6,10,3,2,3,3,2,7
CH,7,8,5,10,8,8,7,7,6,6
CH,8,6,3,10,6,8,6,6,5,8
CH,6,7,6,8,7,8,8,7,5,7
CH,9,2,6,10,8,8,6,6,5,3
CH,7,8,7,8,8,9,7,7,6,7
CH,7,7,6,10,7,7,0,3,0,4
CH,4,6,5,8,7,7,6,7,6,5
CH,3,5,8,10,9,9,7,7,7,9
CH,1,9,0,10,5,5,4,5,5,7
CH,7,8,4,10,6,6,7,6,0,8
CH,8,7,8,10,8,8,8,9,7,9
CH,8,8,8,8,5,8,7,6,7,10
CH,5,4,5,10,8,9,7,8,7,7
CH,6,7,7,9,8,8,6,7,6,8
CH,8,8,8,10,8,8,6,7,6,6
CH,7,7,8,9,9,8,5,9,4,8
CH,8,7,9,10,8,8,1,2,1,4
CH,5,7,5,10,10,10,7,10,7,7
CH,6,3,3,10,9,6,6,8,6,5
CH,7,7,7,5,7,6,7,8,7,10
CH,9,8,6,10,5,7,6,6,9,9
CH,2,7,5,10,8,8,6,7,7,9
CH,9,9,8,10,6,10,4,5,4,6
CH,10,10,10,10,9,10,8,9,8,7
CH,7,5,8,10,6,7,4,6,4,2
CH,9,9,6,10,7,7,3,3,4,7
CH,7,7,5,8,7,8,5,4,5,5
CH,9,7,8,10,7,8,7,8,8,9
CH,7,7,7,9,7,8,4,5,5,9
CH,6,8,6,10,5,5,5,5,5,5
CH,6,7,5,10,7,7,6,10,4,7
CH,10,10,10,10,9,8,8,9,8,8
CH,7,4,7,10,9,8,6,8,6,6
CH,10,8,8,10,8,8,6,8,4,8
CH,6,6,7,10,8,9,5,7,7,7
CH,6,6,5,9,5,7,6,5,5,4
CH,7,7,6,8,9,8,6,7,5,8
CH,7,3,8,10,8,8,7,7,6,8
CH,7,4,6,10,8,8,6,7,7,7
CH,10,10,10,10,8,9,5,7,5,8
CH,7,7,6,9,7,6,6,6,2,6
CH,4,5,8,10,6,6,4,5,5,6
CH,5,5,5,10,4,2,1,3,2,4
CH,6,6,5,9,6,7,3,3,4,5
CH,7,6,5,10,6,6,7,7,7,7
CH,6,5,6,10,4,5,0,4,0,3
CH,7,7,7,9,3,7,3,2,3,6
CH,7,9,7,10,5,7,7,6,7,4
CH,8,5,8,9,8,6,6,7,6,8
CH,8,5,8,9,7,6,6,6,5,6
CH,9,8,9,8,7,6,5,5,5,6
CH,6,6,7,9,8,9,8,7,8,8
CH,8,7,7,10,9,9,7,8,6,8
CH,7,4,5,8,9,9,9,8,8,9
CH,9,7,5,10,8,8,7,8,7,9
CH,7,6,8,10,8,8,8,8,8,9
CH,8,8,7,7,7,8,5,6,4,8
CH,7,7,8,8,8,7,6,7,6,6
CH,6,8,6,10,7,7,7,7,7,8
CH,8,6,8,10,8,5,4,8,6,7
CH,8,6,8,10,9,8,7,7,7,9
CH,10,9,8,7,4,6,5,4,4,6
CH,6,8,7,8,7,6,3,5,3,5
CH,6,6,7,8,6,6,6,6,6,6
CH,8,10,5,7,9,10,8,6,9,5
CH,10,3,6,9,6,7,7,6,5,6
CH,6,7,5,9,5,7,6,5,5,5
CH,9,7,8,10,8,8,8,8,8,8
CH,5,5,4,10,9,7,5,9,5,6
CH,4,5,4,8,7,7,6,7,6,4
CH,9,6,7,8,8,9,6,7,6,8
CH,8,8,8,9,7,9,8,8,6,8
CH,5,8,1,10,8,8,8,5,3,4
CH,3,4,3,9,7,6,4,5,3,7
CH,7,7,5,10,4,6,1,7,1,10
CH,5,8,7,9,7,7,7,6,6,7
CH,8,7,8,8,8,6,7,7,6,8
CH,6,6,6,9,4,6,3,5,3,4
CH,9,7,8,9,8,7,7,8,6,6
CH,8,8,7,9,8,8,6,7,5,8
CH,10,8,10,9,9,10,9,10,9,10
CH,4,4,7,8,5,5,5,7,6,8
CH,5,5,5,10,10,10,10,10,10,5
CH,7,7,6,10,7,7,5,6,6,8
CH,7,5,5,10,9,9,7,9,6,9
CH,4,7,7,10,6,6,5,7,5,6
CH,5,7,4,10,6,8,5,7,5,5
CH,5,8,7,9,4,4,4,7,6,9
CH,5,7,3,10,5,5,5,8,5,7
CH,7,7,7,10,9,8,6,8,6,9
CH,5,6,5,8,8,8,2,6,2,7
CH,8,9,8,10,8,8,8,8,8,7
CH,4,4,3,9,4,4,4,4,4,4
CH,7,6,7,10,7,7,5,8,5,8
CH,7,7,8,9,7,7,6,7,6,7
CH,8,7,6,8,8,7,8,8,8,9
CH,9,8,8,10,8,10,8,8,7,10
CH,5,7,5,8,7,9,7,7,7,9
CH,5,7,2,10,7,8,6,7,6,4
CH,6,8,8,10,7,10,6,8,7,9
CH,4,7,4,7,6,7,7,8,5,3
CH,5,7,7,10,8,9,9,8,8,6
CH,4,5,2,8,5,4,4,5,4,4
CH,8,6,5,10,7,8,6,5,5,5
CH,6,7,6,10,8,9,7,7,7,8
CH,8,4,8,10,8,8,6,8,6,8
CH,9,6,8,10,10,8,8,10,9,10
CH,5,5,5,6,8,9,6,7,7,8
CH,8,5,7,5,10,10,8,10,8,9
CH,8,8,8,6,7,9,5,5,5,6
CH,7,7,5,8,5,9,5,5,4,7
CH,6,6,6,10,10,9,6,8,7,10
CH,4,6,7,9,7,7,6,7,6,8
CH,10,9,10,9,5,6,3,3,4,6
CH,7,5,6,10,6,8,5,8,6,4
CH,6,8,8,10,6,6,8,7,8,6
CH,10,10,10,10,8,10,10,8,5,10
CH,8,5,5,10,7,8,6,5,6,7
CH,4,5,3,10,7,6,3,7,3,2
CH,3,5,0,10,0,0,2,5,4,10
CH,7,7,7,9,7,7,5,7,5,5
CH,7,4,8,8,5,7,5,4,5,7
CH,6,6,4,8,3,3,2,3,4,4
CH,9,8,8,10,7,8,6,8,5,4
CH,7,7,6,10,6,7,6,6,5,5
CH,7,4,6,10,6,7,4,6,4,4
CH,7,7,8,10,10,9,9,9,8,9
CH,5,6,3,10,8,8,5,4,4,2
CH,6,4,6,10,8,8,7,7,6,9
CH,9,8,6,8,7,8,7,6,7,5
CH,7,8,7,10,6,9,9,8,7,8
CH,6,6,6,10,8,7,7,8,6,8
CH,7,5,5,10,4,4,4,5,6,8
CH,7,6,7,10,9,10,8,8,8,9
CH,6,0,5,10,10,10,8,8,9,7
CH,6,6,7,10,6,8,4,7,5,4
CH,5,5,5,6,6,5,4,5,4,5
CH,6,4,5,7,8,9,8,7,8,7
CH,3,5,4,10,0,7,0,1,0,8
CH,4,2,6,10,9,8,7,8,4,9
CH,8,9,4,10,3,4,2,5,2,0
CH,10,10,9,10,8,8,8,9,8,3
CH,0,3,0,10,8,8,6,7,4,5
CH,8,5,5,10,1,2,0,0,0,4
CH,7,4,6,8,7,8,5,7,5,8
CH,6,4,4,8,4,6,5,6,4,2
CH,6,8,7,10,10,9,9,10,4,10
CH,6,6,9,10,7,10,9,9,9,9
